,Product_Name,Category,City,Original_Price,Current_Price,Discount,Orders,Total_Revenue,Influencer_Active,Cost,Profit,Total_discount,Gross_Revenue,Date
70,Aashirvaad Atta,Grocery,Pune,105,105,5,295,29500,Yes,21682.5,7817.5,1475,30975,2024-09-11
71,Maggi Noodles,Instant Food,Mumbai,49,49,10,99,3861,Yes,3395.7,465.3000000000002,990,4851,2024-01-18
72,Pepsi 500ml,Beverages,Bangalore,53,63,0,179,11277,No,7893.899999999999,3383.1000000000013,0,11277,2024-07-27
73,Coca Cola 1L,Beverages,Mumbai,99,109,0,297,32373,Yes,22661.1,9711.900000000001,0,32373,2024-04-14
74,Aashirvaad Atta,Grocery,Delhi,159,174,5,138,23322,Yes,16808.399999999998,6513.600000000002,690,24012,2024-03-08
75,Nestle Munch,Confectionery,Hyderabad,191,191,10,211,38191,No,28210.699999999997,9980.300000000003,2110,40301,2024-06-01
76,Pepsi 500ml,Beverages,Pune,186,186,10,66,11616,Yes,8593.199999999999,3022.800000000001,660,12276,2024-12-16
77,Fortune Oil 1L,Grocery,Pune,114,114,10,283,29432,No,22583.399999999998,6848.600000000002,2830,32262,2024-04-15
78,Britannia Cake,Snacks,Hyderabad,20,35,10,257,6425,Yes,6296.5,128.5,2570,8995,2024-02-08
79,Coca Cola 1L,Beverages,Hyderabad,177,187,5,299,54418,No,39139.1,15278.900000000001,1495,55913,2024-01-02
80,Parle-G,Snacks,Pune,151,156,0,52,8112,Yes,5678.4,2433.6000000000004,0,8112,2024-12-17
81,Oreo Biscuits,Snacks,Hyderabad,32,47,10,147,5439,No,4836.3,602.6999999999998,1470,6909,2024-08-12
82,Coca Cola 1L,Beverages,Delhi,55,60,5,208,11440,No,8736.0,2704.0,1040,12480,2024-11-24
83,Maggi Noodles,Instant Food,Bangalore,37,52,10,163,6846,No,5933.2,912.8000000000002,1630,8476,2024-12-04
84,Maggi Noodles,Instant Food,Hyderabad,170,175,5,294,49980,No,36014.99999999999,13965.000000000007,1470,51450,2024-02-18
85,Fortune Oil 1L,Grocery,Pune,29,29,0,132,3828,No,2679.5999999999995,1148.4000000000005,0,3828,2024-06-29
86,Oreo Biscuits,Snacks,Delhi,57,57,5,247,12844,No,9855.3,2988.7000000000007,1235,14079,2024-05-21
87,Oreo Biscuits,Snacks,Bangalore,179,194,10,257,47288,No,34900.6,12387.400000000001,2570,49858,2024-04-22
88,Aashirvaad Atta,Grocery,Pune,63,73,5,67,4556,No,3423.7,1132.3000000000002,335,4891,2024-01-28
89,Aashirvaad Atta,Grocery,Hyderabad,136,136,10,286,36036,No,27227.199999999997,8808.800000000003,2860,38896,2024-06-04
90,Aashirvaad Atta,Grocery,Hyderabad,165,175,5,211,35870,No,25847.499999999996,10022.500000000004,1055,36925,2024-11-23
91,Coca Cola 1L,Beverages,Mumbai,50,60,10,270,13500,No,11340.0,2160.0,2700,16200,2024-02-01
92,Nestle Munch,Confectionery,Mumbai,180,185,10,163,28525,No,21108.5,7416.5,1630,30155,2024-05-27
93,Pepsi 500ml,Beverages,Hyderabad,32,47,10,120,4440,No,3948.0,492.0,1200,5640,2024-12-12
94,Fortune Oil 1L,Grocery,Pune,97,112,0,187,20944,No,14660.8,6283.200000000001,0,20944,2024-12-15
95,Pepsi 500ml,Beverages,Delhi,181,186,0,54,10044,No,7030.799999999999,3013.2000000000007,0,10044,2024-07-09
96,Pepsi 500ml,Beverages,Chennai,184,194,10,86,15824,No,11678.8,4145.200000000001,860,16684,2024-07-14
97,Pepsi 500ml,Beverages,Pune,57,62,10,236,12272,No,10242.4,2029.6000000000004,2360,14632,2024-07-17
98,Coca Cola 1L,Beverages,Bangalore,50,50,5,163,7335,Yes,5705.0,1630.0,815,8150,2024-11-13
99,Oreo Biscuits,Snacks,Hyderabad,115,120,0,122,14640,No,10248.0,4392.0,0,14640,2024-06-22
100,Fortune Oil 1L,Grocery,Bangalore,120,135,0,138,18630,Yes,13041.0,5589.0,0,18630,2024-04-16
101,Pepsi 500ml,Beverages,Delhi,125,125,0,146,18250,Yes,12775.0,5475.0,0,18250,2024-07-11
102,Parle-G,Snacks,Bangalore,148,153,0,171,26163,Yes,18314.1,7848.9000000000015,0,26163,2024-05-02
103,Fortune Oil 1L,Grocery,Hyderabad,73,78,5,82,5986,No,4477.2,1508.8000000000002,410,6396,2024-11-26
104,Maggi Noodles,Instant Food,Delhi,31,46,10,109,3924,No,3509.7999999999997,414.2000000000003,1090,5014,2024-09-01
105,Amul Milk 500ml,Dairy,Chennai,199,204,0,269,54876,No,38413.2,16462.800000000003,0,54876,2024-07-01
106,Pepsi 500ml,Beverages,Hyderabad,184,199,5,69,13386,No,9611.699999999999,3774.300000000001,345,13731,2024-08-22
107,Nestle Munch,Confectionery,Hyderabad,151,151,0,57,8607,No,6024.9,2582.1000000000004,0,8607,2024-11-05
108,Fortune Oil 1L,Grocery,Hyderabad,23,28,5,276,6348,Yes,5409.599999999999,938.4000000000005,1380,7728,2024-07-15
109,Coca Cola 1L,Beverages,Chennai,83,93,10,148,12284,No,9634.8,2649.2000000000007,1480,13764,2024-11-21
110,Pepsi 500ml,Beverages,Bangalore,138,153,10,182,26026,No,19492.2,6533.799999999999,1820,27846,2024-03-11
111,Oreo Biscuits,Snacks,Bangalore,116,131,10,283,34243,No,25951.1,8291.900000000001,2830,37073,2024-06-05
112,Britannia Cake,Snacks,Delhi,98,113,10,233,23999,No,18430.3,5568.700000000001,2330,26329,2024-12-04
113,Oreo Biscuits,Snacks,Chennai,176,186,0,150,27900,No,19530.0,8370.0,0,27900,2024-10-13
114,Nestle Munch,Confectionery,Hyderabad,65,75,5,168,11760,No,8820.0,2940.0,840,12600,2024-01-13
115,Pepsi 500ml,Beverages,Hyderabad,48,53,0,192,10176,No,7123.199999999999,3052.800000000001,0,10176,2024-11-15
116,Coca Cola 1L,Beverages,Pune,101,101,5,294,28224,Yes,20785.799999999996,7438.200000000004,1470,29694,2024-12-03
117,Parle-G,Snacks,Bangalore,75,90,10,55,4400,No,3464.9999999999995,935.0000000000005,550,4950,2024-04-16
118,Britannia Cake,Snacks,Bangalore,132,132,0,255,33660,No,23561.999999999996,10098.000000000004,0,33660,2024-02-04
119,Parle-G,Snacks,Hyderabad,140,155,10,85,12325,No,9222.5,3102.5,850,13175,2024-05-28
120,Nestle Munch,Confectionery,Delhi,87,87,10,199,15323,No,12119.1,3203.8999999999996,1990,17313,2024-03-21
121,Parle-G,Snacks,Hyderabad,187,187,0,131,24497,No,17147.9,7349.0999999999985,0,24497,2024-07-20
122,Amul Milk 500ml,Dairy,Bangalore,156,166,10,144,22464,No,16732.8,5731.200000000001,1440,23904,2024-01-26
123,Maggi Noodles,Instant Food,Bangalore,174,189,5,162,29808,No,21432.6,8375.400000000001,810,30618,2024-10-29
124,Amul Milk 500ml,Dairy,Bangalore,135,145,10,71,9585,No,7206.5,2378.5,710,10295,2024-05-22
125,Nestle Munch,Confectionery,Hyderabad,77,92,10,50,4100,No,3219.9999999999995,880.0000000000005,500,4600,2024-08-04
126,Coca Cola 1L,Beverages,Mumbai,80,90,5,249,21165,No,15686.999999999998,5478.000000000002,1245,22410,2024-10-15
127,Nestle Munch,Confectionery,Hyderabad,84,84,10,272,20128,No,15993.599999999999,4134.4000000000015,2720,22848,2024-07-23
128,Maggi Noodles,Instant Food,Mumbai,94,94,5,219,19491,Yes,14410.199999999999,5080.800000000001,1095,20586,2024-12-21
129,Maggi Noodles,Instant Food,Bangalore,88,103,0,237,24411,Yes,17087.699999999997,7323.300000000003,0,24411,2024-09-27
130,Amul Milk 500ml,Dairy,Pune,169,184,10,267,46458,No,34389.6,12068.400000000001,2670,49128,2024-10-22
131,Oreo Biscuits,Snacks,Chennai,101,101,0,107,10807,No,7564.899999999999,3242.1000000000013,0,10807,2024-03-19
132,Aashirvaad Atta,Grocery,Hyderabad,141,141,0,150,21150,Yes,14804.999999999998,6345.000000000002,0,21150,2024-11-30
133,Aashirvaad Atta,Grocery,Hyderabad,78,93,0,255,23715,No,16600.5,7114.5,0,23715,2024-09-25
134,Britannia Cake,Snacks,Delhi,181,186,5,88,15928,No,11457.599999999999,4470.4000000000015,440,16368,2024-09-20
135,Parle-G,Snacks,Delhi,134,144,0,206,29664,No,20764.8,8899.2,0,29664,2024-01-21
136,Pepsi 500ml,Beverages,Mumbai,147,152,10,122,17324,Yes,12980.8,4343.200000000001,1220,18544,2024-04-18
137,Nestle Munch,Confectionery,Pune,27,42,10,296,9472,No,8702.4,769.6000000000004,2960,12432,2024-06-23
138,Nestle Munch,Confectionery,Chennai,97,107,0,55,5885,Yes,4119.499999999999,1765.500000000001,0,5885,2024-07-25
139,Coca Cola 1L,Beverages,Bangalore,183,183,0,132,24156,No,16909.2,7246.799999999999,0,24156,2024-03-19
140,Coca Cola 1L,Beverages,Mumbai,187,202,0,124,25048,Yes,17533.6,7514.4000000000015,0,25048,2024-10-31
141,Parle-G,Snacks,Delhi,64,64,10,87,4698,No,3897.6,800.4000000000001,870,5568,2024-07-04
142,Parle-G,Snacks,Hyderabad,60,65,0,246,15990,Yes,11193.0,4797.0,0,15990,2024-05-31
143,Britannia Cake,Snacks,Pune,81,96,5,188,17108,No,12633.599999999999,4474.4000000000015,940,18048,2024-04-11
144,Pepsi 500ml,Beverages,Chennai,48,63,0,52,3276,No,2293.2,982.8000000000002,0,3276,2024-03-22
145,Pepsi 500ml,Beverages,Bangalore,44,44,5,161,6279,Yes,4958.799999999999,1320.2000000000007,805,7084,2024-09-12
146,Amul Milk 500ml,Dairy,Chennai,173,188,5,86,15738,Yes,11317.6,4420.4,430,16168,2024-01-03
147,Maggi Noodles,Instant Food,Bangalore,42,42,10,110,3520,No,3234.0,286.0,1100,4620,2024-11-28
148,Parle-G,Snacks,Chennai,147,147,0,284,41748,No,29223.6,12524.400000000001,0,41748,2024-01-17
149,Amul Milk 500ml,Dairy,Chennai,44,44,10,103,3502,No,3172.3999999999996,329.60000000000036,1030,4532,2024-08-12
150,Coca Cola 1L,Beverages,Chennai,149,159,0,93,14787,No,10350.9,4436.1,0,14787,2024-11-16
151,Fortune Oil 1L,Grocery,Delhi,42,57,5,241,12532,No,9615.9,2916.1000000000004,1205,13737,2024-09-26
152,Amul Milk 500ml,Dairy,Chennai,134,134,5,82,10578,Yes,7691.599999999999,2886.4000000000005,410,10988,2024-08-19
153,Pepsi 500ml,Beverages,Chennai,67,77,5,93,6696,No,5012.7,1683.3000000000002,465,7161,2024-11-03
154,Amul Milk 500ml,Dairy,Mumbai,198,198,10,172,32336,No,23839.2,8496.8,1720,34056,2024-07-27
155,Nestle Munch,Confectionery,Bangalore,141,151,5,65,9490,Yes,6870.499999999999,2619.500000000001,325,9815,2024-02-08
156,Maggi Noodles,Instant Food,Pune,77,77,0,89,6853,No,4797.099999999999,2055.9000000000005,0,6853,2024-01-12
157,Amul Milk 500ml,Dairy,Chennai,80,80,5,297,22275,No,16632.0,5643.0,1485,23760,2024-11-07
158,Oreo Biscuits,Snacks,Delhi,128,128,5,263,32349,Yes,23564.8,8784.2,1315,33664,2024-02-19
159,Aashirvaad Atta,Grocery,Delhi,67,82,10,258,18576,No,14809.199999999999,3766.800000000001,2580,21156,2024-01-11
160,Coca Cola 1L,Beverages,Bangalore,77,82,5,87,6699,No,4993.8,1705.1999999999998,435,7134,2024-08-19
161,Britannia Cake,Snacks,Chennai,142,152,0,184,27968,No,19577.6,8390.400000000001,0,27968,2024-02-11
162,Fortune Oil 1L,Grocery,Mumbai,88,103,0,56,5768,No,4037.5999999999995,1730.4000000000005,0,5768,2024-07-11
163,Britannia Cake,Snacks,Hyderabad,167,172,5,252,42084,No,30340.8,11743.2,1260,43344,2024-08-16
164,Aashirvaad Atta,Grocery,Hyderabad,109,119,0,161,19159,No,13411.3,5747.700000000001,0,19159,2024-01-11
165,Nestle Munch,Confectionery,Chennai,161,171,0,226,38646,No,27052.199999999997,11593.800000000003,0,38646,2024-01-24
166,Aashirvaad Atta,Grocery,Chennai,93,108,0,107,11556,No,8089.2,3466.8,0,11556,2024-06-27
167,Parle-G,Snacks,Pune,93,93,5,106,9328,Yes,6900.599999999999,2427.4000000000005,530,9858,2024-10-15
168,Britannia Cake,Snacks,Hyderabad,198,203,0,188,38164,Yes,26714.8,11449.2,0,38164,2024-06-22
169,Pepsi 500ml,Beverages,Chennai,161,161,5,211,32916,No,23779.699999999997,9136.300000000003,1055,33971,2024-06-24
170,Britannia Cake,Snacks,Mumbai,86,91,10,70,5670,No,4459.0,1211.0,700,6370,2024-08-13
171,Parle-G,Snacks,Mumbai,148,163,5,79,12482,Yes,9013.9,3468.1000000000004,395,12877,2024-10-13
172,Fortune Oil 1L,Grocery,Bangalore,143,153,0,299,45747,Yes,32022.899999999998,13724.100000000002,0,45747,2024-10-03
173,Parle-G,Snacks,Chennai,71,81,0,61,4941,No,3458.7,1482.3000000000002,0,4941,2024-08-15
174,Nestle Munch,Confectionery,Pune,151,151,10,219,30879,No,23148.3,7730.700000000001,2190,33069,2024-06-06
175,Parle-G,Snacks,Pune,196,201,10,112,21392,Yes,15758.399999999998,5633.600000000002,1120,22512,2024-04-19
176,Pepsi 500ml,Beverages,Chennai,160,175,0,56,9800,Yes,6859.999999999999,2940.000000000001,0,9800,2024-01-18
177,Maggi Noodles,Instant Food,Chennai,115,120,0,226,27120,No,18984.0,8136.0,0,27120,2024-04-26
178,Britannia Cake,Snacks,Hyderabad,92,102,10,99,9108,Yes,7068.599999999999,2039.4000000000005,990,10098,2024-09-04
179,Nestle Munch,Confectionery,Mumbai,107,112,5,117,12519,No,9172.8,3346.2000000000007,585,13104,2024-07-26
180,Parle-G,Snacks,Pune,88,98,5,259,24087,No,17767.399999999998,6319.600000000002,1295,25382,2024-11-17
181,Pepsi 500ml,Beverages,Pune,113,113,0,114,12882,No,9017.4,3864.6000000000004,0,12882,2024-11-18
182,Fortune Oil 1L,Grocery,Bangalore,54,54,5,141,6909,Yes,5329.799999999999,1579.2000000000007,705,7614,2024-12-04
183,Fortune Oil 1L,Grocery,Bangalore,173,178,10,159,26712,No,19811.399999999998,6900.600000000002,1590,28302,2024-10-15
184,Britannia Cake,Snacks,Chennai,75,90,10,100,8000,Yes,6299.999999999999,1700.000000000001,1000,9000,2024-09-12
185,Parle-G,Snacks,Delhi,48,58,5,112,5936,No,4547.199999999999,1388.800000000001,560,6496,2024-10-12
186,Oreo Biscuits,Snacks,Mumbai,34,44,0,284,12496,No,8747.199999999999,3748.800000000001,0,12496,2024-03-18
187,Amul Milk 500ml,Dairy,Hyderabad,93,103,10,103,9579,No,7426.299999999999,2152.7000000000007,1030,10609,2024-09-02
188,Pepsi 500ml,Beverages,Pune,55,55,0,271,14905,No,10433.5,4471.5,0,14905,2024-03-28
189,Parle-G,Snacks,Bangalore,36,51,10,139,5699,No,4962.299999999999,736.7000000000007,1390,7089,2024-03-02
190,Oreo Biscuits,Snacks,Mumbai,41,51,10,123,5043,Yes,4391.099999999999,651.9000000000005,1230,6273,2024-08-03
191,Pepsi 500ml,Beverages,Hyderabad,162,172,5,184,30728,No,22153.6,8574.400000000001,920,31648,2024-08-23
192,Pepsi 500ml,Beverages,Pune,146,151,0,273,41223,Yes,28856.1,12366.900000000001,0,41223,2024-01-12
193,Aashirvaad Atta,Grocery,Pune,41,41,10,152,4712,No,4362.4,349.60000000000036,1520,6232,2024-12-28
194,Coca Cola 1L,Beverages,Delhi,74,84,10,197,14578,No,11583.599999999999,2994.4000000000015,1970,16548,2024-06-30
195,Maggi Noodles,Instant Food,Delhi,153,163,5,143,22594,No,16316.3,6277.700000000001,715,23309,2024-05-14
196,Coca Cola 1L,Beverages,Bangalore,147,157,5,133,20216,Yes,14616.699999999999,5599.300000000001,665,20881,2024-11-07
197,Aashirvaad Atta,Grocery,Pune,67,82,10,192,13824,No,11020.8,2803.2000000000007,1920,15744,2024-06-16
198,Maggi Noodles,Instant Food,Pune,76,91,0,156,14196,No,9937.199999999999,4258.800000000001,0,14196,2024-05-11
199,Aashirvaad Atta,Grocery,Bangalore,131,146,5,87,12267,No,8891.4,3375.6000000000004,435,12702,2024-10-22
200,Maggi Noodles,Instant Food,Hyderabad,165,165,10,124,19220,No,14321.999999999998,4898.000000000002,1240,20460,2024-04-09
201,Fortune Oil 1L,Grocery,Hyderabad,143,148,10,60,8280,No,6216.0,2064.0,600,8880,2024-01-18
202,Aashirvaad Atta,Grocery,Pune,49,49,5,60,2640,Yes,2058.0,582.0,300,2940,2024-01-28
203,Nestle Munch,Confectionery,Pune,154,159,0,224,35616,No,24931.2,10684.8,0,35616,2024-10-30
204,Coca Cola 1L,Beverages,Pune,65,75,5,183,12810,No,9607.5,3202.5,915,13725,2024-12-21
205,Amul Milk 500ml,Dairy,Delhi,69,74,0,224,16576,No,11603.199999999999,4972.800000000001,0,16576,2024-04-07
206,Nestle Munch,Confectionery,Bangalore,181,191,5,273,50778,Yes,36500.1,14277.900000000001,1365,52143,2024-01-07
207,Coca Cola 1L,Beverages,Chennai,30,45,5,262,10480,Yes,8252.999999999998,2227.000000000002,1310,11790,2024-07-26
208,Britannia Cake,Snacks,Pune,149,164,10,80,12320,Yes,9184.0,3136.0,800,13120,2024-02-15
209,Britannia Cake,Snacks,Mumbai,177,192,0,253,48576,No,34003.2,14572.800000000003,0,48576,2024-02-14
210,Aashirvaad Atta,Grocery,Delhi,76,76,10,240,15840,No,12767.999999999998,3072.000000000002,2400,18240,2024-02-07
211,Amul Milk 500ml,Dairy,Pune,169,169,5,270,44280,No,31941.0,12339.0,1350,45630,2024-03-29
212,Amul Milk 500ml,Dairy,Pune,166,171,0,130,22230,No,15560.999999999998,6669.000000000002,0,22230,2024-11-09
213,Coca Cola 1L,Beverages,Mumbai,161,161,0,165,26565,No,18595.499999999996,7969.500000000004,0,26565,2024-09-12
214,Aashirvaad Atta,Grocery,Mumbai,86,101,0,139,14039,Yes,9827.3,4211.700000000001,0,14039,2024-04-08
215,Maggi Noodles,Instant Food,Chennai,138,153,10,213,30459,No,22812.3,7646.700000000001,2130,32589,2024-09-16
216,Pepsi 500ml,Beverages,Pune,129,139,0,69,9591,Yes,6713.7,2877.3,0,9591,2024-01-27
217,Amul Milk 500ml,Dairy,Bangalore,103,118,5,215,24295,No,17759.0,6536.0,1075,25370,2024-08-25
218,Maggi Noodles,Instant Food,Chennai,43,58,5,137,7261,Yes,5562.199999999999,1698.800000000001,685,7946,2024-11-16
219,Coca Cola 1L,Beverages,Hyderabad,135,140,0,179,25060,No,17542.0,7518.0,0,25060,2024-12-11
220,Maggi Noodles,Instant Food,Chennai,167,182,5,180,31860,Yes,22932.0,8928.0,900,32760,2024-12-24
221,Parle-G,Snacks,Pune,30,35,10,83,2075,No,2033.5,41.5,830,2905,2024-02-21
222,Aashirvaad Atta,Grocery,Hyderabad,113,113,5,73,7884,Yes,5774.299999999999,2109.7000000000007,365,8249,2024-06-12
